timestamp,dpid,port_no,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_errors,tx_errors,rx_dropped,tx_dropped
2026-04-20 17:27:07,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:27:07,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:27:17,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:27:17,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:27:17,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:27:17,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:27:27,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:27:27,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:27:27,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:27:27,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:27:37,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:27:37,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:27:37,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:27:37,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:27:47,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:27:47,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:27:47,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:27:47,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:27:57,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:27:57,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:27:57,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:27:57,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:28:07,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:28:07,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:28:07,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:28:07,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:28:17,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:28:17,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:28:17,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:28:17,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:28:27,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:28:27,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:28:27,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:28:27,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:28:37,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:28:37,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:28:37,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:28:37,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:28:47,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:28:47,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:28:47,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:28:47,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:28:57,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:28:57,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:28:57,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:28:57,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:29:07,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:29:07,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:29:07,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:29:07,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:29:17,0000000000000002,1,42,39,4319,4109,0,0,0,0
2026-04-20 17:29:17,0000000000000002,2,27,52,1710,5150,0,0,0,0
2026-04-20 17:29:17,0000000000000002,3,29,52,1886,5150,0,0,0,0
2026-04-20 17:29:17,0000000000000002,4294967294,0,0,0,0,0,0,0,0
2026-04-20 17:29:27,0000000000000002,1,42,39,4319,4109,0,0,0,0
