timestamp,dpid,priority,in_port,eth_src,eth_dst,packet_count,byte_count,duration_sec
2026-04-20 17:32:37,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:01,2,196,5
2026-04-20 17:32:37,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:05,1,98,5
2026-04-20 17:32:37,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:02,2,196,5
2026-04-20 17:32:37,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:04,1,98,5
2026-04-20 17:32:37,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:02,2,196,5
2026-04-20 17:32:37,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:05,1,98,5
2026-04-20 17:32:37,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:03,2,196,5
2026-04-20 17:32:37,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:04,1,98,5
2026-04-20 17:32:37,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:03,2,196,4
2026-04-20 17:32:37,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:05,1,98,4
2026-04-20 17:32:37,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:04,2,196,4
2026-04-20 17:32:37,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:05,1,98,4
2026-04-20 17:32:47,0000000000000002,0,ANY,ANY,ANY,45,2981,1570
2026-04-20 17:32:47,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:01,3,238,15
2026-04-20 17:32:47,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:04,2,140,15
2026-04-20 17:32:47,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:01,3,238,15
2026-04-20 17:32:47,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:05,2,140,15
2026-04-20 17:32:47,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:02,3,238,15
2026-04-20 17:32:47,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:04,2,140,15
2026-04-20 17:32:47,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:02,3,238,15
2026-04-20 17:32:47,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:05,2,140,15
2026-04-20 17:32:47,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:03,3,238,15
2026-04-20 17:32:47,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:04,2,140,15
2026-04-20 17:32:47,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:03,3,238,14
2026-04-20 17:32:47,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:05,2,140,14
2026-04-20 17:32:47,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:04,3,238,14
2026-04-20 17:32:47,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:05,2,140,14
2026-04-20 17:32:57,0000000000000002,0,ANY,ANY,ANY,45,2981,1580
2026-04-20 17:32:57,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:01,3,238,25
2026-04-20 17:32:57,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:04,2,140,25
2026-04-20 17:32:57,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:01,3,238,25
2026-04-20 17:32:57,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:05,2,140,25
2026-04-20 17:32:57,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:02,3,238,25
2026-04-20 17:32:57,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:04,2,140,25
2026-04-20 17:32:57,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:02,3,238,25
2026-04-20 17:32:57,0000000000000002,1,1,00:00:00:00:00:02,00:00:00:00:00:05,2,140,25
2026-04-20 17:32:57,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:03,3,238,25
2026-04-20 17:32:57,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:04,2,140,25
2026-04-20 17:32:57,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:03,3,238,25
2026-04-20 17:32:57,0000000000000002,1,1,00:00:00:00:00:03,00:00:00:00:00:05,2,140,25
2026-04-20 17:32:57,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:04,3,238,24
2026-04-20 17:32:57,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:05,2,140,24
2026-04-20 17:33:07,0000000000000002,0,ANY,ANY,ANY,45,2981,1590
2026-04-20 17:33:07,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:01,3,238,35
2026-04-20 17:33:07,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:04,2,140,35
2026-04-20 17:33:07,0000000000000002,1,3,00:00:00:00:00:05,00:00:00:00:00:01,3,238,35
2026-04-20 17:33:07,0000000000000002,1,1,00:00:00:00:00:01,00:00:00:00:00:05,2,140,35
2026-04-20 17:33:07,0000000000000002,1,2,00:00:00:00:00:04,00:00:00:00:00:02,3,238,35
